category,drop,target,task,train_path,valid_path,test_path,model,gpu,cross_f,exp_id,train time (sec),logloss_val,logloss_test,log_path,nu,cross_type,opt_params,nn_model,auc_val,auc_test
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Month_Payment_Behaviour_Credit_Mix_', 'Payment_Behaviour_Credit_Mix_Occupation_', 'Month_Credit_Mix_Occupation_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[0, 3, 2], [3, 2, 1], [0, 2, 1]]",92903103236584982327,1.915193796157837,2.154197646991483,2.1642792582847177,/dnn2lr/models/linear/output/92903103236584982327/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Month_Payment_of_Min_Amount_Payment_Behaviour_', 'Credit_Mix_Occupation_Payment_Behaviour_', 'Occupation_Payment_of_Min_Amount_Payment_Behaviour_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[0, 4, 3], [2, 1, 3], [1, 4, 3]]",08857076700800409592,2.0391104221343994,2.2201233922663546,2.228608580899736,/dnn2lr/models/linear/output/08857076700800409592/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Payment_of_Min_Amount_Payment_Behaviour_', 'Occupation_Month_Payment_Behaviour_', 'Occupation_Payment_of_Min_Amount_Credit_Mix_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 4, 3], [1, 0, 3], [1, 4, 2]]",17318235543426043234,1.95033597946167,2.130262401247663,2.143514551414797,/dnn2lr/models/linear/output/17318235543426043234/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Credit_Mix_Payment_Behaviour_Payment_of_Min_Amount_', 'Occupation_Payment_of_Min_Amount_Month_', 'Credit_Mix_Payment_Behaviour_Month_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[2, 3, 4], [1, 4, 0], [2, 3, 0]]",77499154199941282759,1.8963751792907717,2.14957090127681,2.1615319269150497,/dnn2lr/models/linear/output/77499154199941282759/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Payment_of_Min_Amount_Payment_Behaviour_', 'Occupation_Payment_of_Min_Amount_Month_', 'Occupation_Credit_Mix_Month_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 4, 3], [1, 4, 0], [1, 2, 0]]",20203459809947272485,1.901775598526001,2.146567321643233,2.156205214742571,/dnn2lr/models/linear/output/20203459809947272485/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Month_Payment_Behaviour_Credit_Mix_', 'Occupation_Payment_Behaviour_Credit_Mix_', 'Month_Payment_of_Min_Amount_Payment_Behaviour_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[0, 3, 2], [1, 3, 2], [0, 4, 3]]",07574336617199072478,1.9236860275268557,2.1484626158965487,2.1606152816439668,/dnn2lr/models/linear/output/07574336617199072478/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Credit_Mix_Payment_Behaviour_Month_', 'Payment_of_Min_Amount_Payment_Behaviour_Occupation_', 'Payment_of_Min_Amount_Payment_Behaviour_Month_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[2, 3, 0], [4, 3, 1], [4, 3, 0]]",11218718255820634273,1.7100999355316162,2.148029002552586,2.159780884809792,/dnn2lr/models/linear/output/11218718255820634273/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Month_Credit_Mix_', 'Occupation_Credit_Mix_Payment_of_Min_Amount_', 'Payment_Behaviour_Credit_Mix_Payment_of_Min_Amount_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 0, 2], [1, 2, 4], [3, 2, 4]]",40560573240746145431,1.939514398574829,2.141733835584351,2.150158710549275,/dnn2lr/models/linear/output/40560573240746145431/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_of_Min_Amount_Credit_Mix_Payment_Behaviour_', 'Occupation_Payment_of_Min_Amount_Credit_Mix_', 'Occupation_Credit_Mix_Payment_Behaviour_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[4, 2, 3], [1, 4, 2], [1, 2, 3]]",10344389000754333051,1.9631743431091309,2.134777507436062,2.1463931984491644,/dnn2lr/models/linear/output/10344389000754333051/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_Behaviour_Month_Payment_of_Min_Amount_', 'Credit_Mix_Payment_Behaviour_Payment_of_Min_Amount_', 'Credit_Mix_Occupation_Payment_of_Min_Amount_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[3, 0, 4], [2, 3, 4], [2, 1, 4]]",79613687813205387402,1.7744898796081543,2.1325605162765298,2.142902298117677,/dnn2lr/models/linear/output/79613687813205387402/log.pickle,,,,,,
